,name
901,stefan
902,stefana
903,stefanel
904,stefania
905,stefanica
906,stefanita
907,stefanut
908,stelea
909,stelian
910,steluta
911,sunita
912,susana
913,suzana
914,szabina
915,szabolcs
916,szende
917,szidonia
918,szilamer
919,szilard
920,szilveszter
921,szilvia
922,tabita
923,tamara
924,tamas
925,tana
926,tania
927,tanita
928,tascu
929,taselia
930,tatiana
931,teia
932,tekla
933,teodor
934,teodora
935,teofana
936,teofil
937,teona
938,tereza
939,thabita
940,thadeus
941,theodor
942,theodora
943,tiberiu
944,tiberius
945,tibor
946,tihamer
947,timea
948,timeea
949,timotei
950,tincuta
951,tinut
952,titus
953,toader
954,toma
955,tradian
956,traian
957,tristan
958,tudor
959,tudorel
960,tunde
961,ungureanu
962,vadim
963,vahap
964,valentin
965,valentina
966,valentino
967,valer
968,valeria
969,valerica
970,valeriu
971,vali
972,vanessa
973,varvara
974,vaselena
975,vasile
976,vasilica
977,verginica
978,verona
979,veronica
980,veronika
981,vicentiu
982,victor
983,victoria
984,victorita
985,viktoria
986,vilmos
987,vinicius
988,violeta
989,viorel
990,viorela
991,viorica
992,virgil
993,virginia
994,virginica
995,vistian
996,viviana
997,vlad
998,vladimir
999,vladut
1000,voichita
1001,voicu
1002,walter
1003,willy
1004,xenia
1005,yldiz
1006,zacheiu
1007,zaharia
1008,zaki
1009,zalan
1010,zamfira
1011,zenaida
1012,zenovia
1013,zina
1014,zita
1015,zoltan
1016,zorand
1017,zsofia
1018,zsolt
1019,zsombor
1020,zsuzsa
1021,zsuzsana
1022,zsuzsanna
