,name,ga_first_name,ga_gender,ga_accuracy,ga_samples
0,abel,Abel,male,98,11473
1,achim,Achim,male,99,2035
2,ada,Ada,female,85,10634
3,adalbert,Adalbert,male,96,220
4,adam,Adam,male,99,101742
5,adel,Adel,male,95,22383
6,adela,Adela,female,98,4454
7,adelin,Adelin,male,83,349
8,adelina,Adelina,female,98,2764
9,adeline,Adeline,female,97,10839
10,adi,Adi,male,92,13011
11,adina,Adina,female,97,1858
12,adnana,Adnana,female,86,76
13,adorian,Adorian,male,100,16
14,adrian,Adrian,male,98,56140
15,adriana,Adriana,female,98,39712
16,adriel,Adriel,male,96,843
17,adrienn,Adrienn,female,98,1885
18,ady,Ady,male,86,3499
19,agnes,Agnes,female,98,12224
20,agota,Agota,female,95,82
21,agotha,,,,
22,aida,Aida,female,97,9234
23,akos,Akos,male,88,368
24,aladin,Aladin,male,98,1460
25,alban,Alban,male,97,4817
26,albert,Albert,male,98,31368
27,alberta,Alberta,female,94,962
28,alecsandra,Alecsandra,female,99,115
29,alenka,Alenka,female,98,1477
30,alessandra,Alessandra,female,95,30251
31,alex,Alex,male,92,247706
32,alexa,Alexa,female,95,5720
33,alexandar,Alexandar,male,98,408
34,alexandra,Alexandra,female,98,53680
35,alexandrina,Alexandrina,female,98,461
36,alexandru,Alexandru,male,99,5316
37,alfred,Alfred,male,98,12096
38,alia,Alia,female,89,2573
39,alice,Alice,female,98,40209
40,alicia,Alicia,female,98,29319
41,alida,Alida,female,97,1608
42,alin,Alin,male,87,4238
43,alina,Alina,female,98,18649
44,alis,Alis,female,63,1146
45,alisa,Alisa,female,95,4148
46,aliz,Aliz,female,88,384
47,alizza,Alizza,female,93,15
48,alois,Alois,male,95,1863
49,alpar,Alpar,male,95,62
50,alteea,Alteea,female,100,3
51,amalia,Amalia,female,98,4612
52,amanda,Amanda,female,98,64384
53,amina,Amina,female,97,16031
54,amira,Amira,female,95,8568
55,ana,Ana,female,97,141747
56,anamaria,Anamaria,female,98,1356
57,anastasia,Anastasia,female,98,12209
58,anasztazia,Anasztazia,female,100,13
59,anca,Anca,female,95,2755
60,ancuta,Ancuta,female,95,254
61,anda,Anda,female,79,1093
62,andelice,,,,
63,andi,Andi,male,78,15150
64,andor,Andor,male,97,396
65,andra,Andra,female,69,2199
66,andrada,Andrada,female,96,408
67,andras,Andras,male,98,1103
68,andrea,Andrea,female,54,161059
69,andreea,Andreea,female,96,6113
70,andreeas,Andreeas,male,83,12
71,andrei,Andrei,male,98,12349
72,andreia,Andreia,female,98,13054
73,andreina,Andreina,female,99,1553
74,andy,Andy,male,95,64001
75,anelise,Anelise,female,99,269
76,anett,Anett,female,100,2026
77,anetta,Anetta,female,98,498
78,angela,Angela,female,98,69937
79,angelica,Angelica,female,98,14919
80,angelo,Angelo,male,94,44479
81,anghel,Anghel,male,74,306
82,angheluta,Angheluta,male,58,19
83,angyalka,Angyalka,female,98,48
84,aniko,Aniko,female,98,819
85,anisia,Anisia,female,98,142
86,anisoara,Anisoara,female,97,258
87,anita,Anita,female,98,40133
88,anna,Anna,female,98,184558
89,annabell,Annabell,female,99,1086
90,annabella,Annabella,female,98,811
91,annamaria,Annamaria,female,98,4163
92,anne,Anne,female,98,48855
93,annemarie,Annemarie,female,98,2211
94,antal,Antal,male,95,1327
95,anton,Anton,male,99,21192
96,antonela,Antonela,female,99,611
97,antonia,Antonia,female,97,10330
98,antonina,Antonina,female,96,1309
99,antonio,Antonio,male,99,180825
100,antoniu,Antoniu,male,100,37
101,anuta,Anuta,female,98,311
102,apollonia,Apollonia,female,86,133
103,arabela,Arabela,female,97,103
104,arestita,,,,
105,arina,Arina,female,97,1441
106,aristide,Aristide,male,95,2003
107,armando,Armando,male,99,17404
108,armin,Armin,male,98,5364
109,arnold,Arnold,male,98,7549
110,aron,Aron,male,96,3100
111,arpad,Arpad,male,99,426
112,artur,Artur,male,99,24643
113,atena,Atena,female,96,407
114,attila,Attila,male,99,14128
115,augusta,Augusta,female,95,996
116,augustin,Augustin,male,98,2806
117,aura,Aura,female,92,2103
118,aurel,Aurel,male,80,2913
119,aurelia,Aurelia,female,98,3532
120,aurelian,Aurelian,male,99,395
121,aurica,Aurica,female,89,187
